Time,Province,New,Domestic,Overseas inflow,Accumulate
2020-11-04,Busan,1,1.0,0.0,594
2020-11-05,Busan,4,3.0,1.0,598
2020-11-06,Busan,0,0.0,0.0,598
2020-11-07,Busan,2,2.0,0.0,600
2020-11-08,Busan,0,0.0,0.0,600
2020-11-09,Busan,2,0.0,2.0,602
2020-11-10,Busan,1,1.0,0.0,603
2020-11-11,Busan,3,3.0,0.0,606
2020-11-12,Busan,2,2.0,0.0,608
2020-11-13,Busan,0,0.0,0.0,608
2020-11-14,Busan,4,1.0,3.0,612
2020-11-15,Busan,0,0.0,0.0,612
2020-11-16,Busan,0,0.0,0.0,612
2020-11-17,Busan,0,0.0,0.0,612
2020-11-18,Busan,5,5.0,0.0,617
2020-11-19,Busan,5,5.0,0.0,622
2020-11-20,Busan,2,2.0,0.0,624
2020-11-21,Busan,7,7.0,0.0,631
2020-11-22,Busan,1,1.0,0.0,632
2020-11-23,Busan,5,4.0,1.0,637
2020-11-24,Busan,6,6.0,0.0,643
2020-11-25,Busan,18,18.0,0.0,661
2020-11-26,Busan,22,19.0,3.0,683
2020-11-27,Busan,24,24.0,0.0,707
2020-11-28,Busan,28,27.0,1.0,735
2020-11-29,Busan,22,21.0,1.0,757
2020-11-30,Busan,52,52.0,0.0,809
2020-12-01,Busan,31,31.0,0.0,840
2020-12-02,Busan,32,31.0,1.0,872
2020-12-03,Busan,15,15.0,0.0,887
2020-12-04,Busan,31,31.0,0.0,918
2020-12-05,Busan,29,29.0,0.0,947
2020-12-06,Busan,34,34.0,0.0,981
2020-12-07,Busan,35,33.0,2.0,1016
2020-12-08,Busan,27,25.0,2.0,1043
2020-12-09,Busan,20,20.0,0.0,1063
2020-12-10,Busan,31,31.0,0.0,1093
2020-12-11,Busan,26,26.0,0.0,1119
2020-12-12,Busan,59,58.0,1.0,1178
2020-12-13,Busan,57,56.0,1.0,1235
2020-12-14,Busan,21,19.0,2.0,1256
2020-12-15,Busan,41,40.0,1.0,1297
2020-12-16,Busan,41,41.0,0.0,1338
2020-12-17,Busan,44,44.0,0.0,1382
2020-12-18,Busan,39,39.0,0.0,1421
2020-12-19,Busan,39,39.0,0.0,1460
2020-12-20,Busan,33,33.0,0.0,1493
2020-12-21,Busan,20,19.0,1.0,1513
2020-12-22,Busan,26,26.0,0.0,1539
2020-12-23,Busan,32,32.0,0.0,1571
2020-12-24,Busan,44,43.0,1.0,1615
2020-12-25,Busan,22,21.0,1.0,1637
2020-12-26,Busan,27,26.0,1.0,1664
2020-12-27,Busan,40,40.0,0.0,1704
2020-12-28,Busan,34,34.0,0.0,1738
2020-12-29,Busan,17,17.0,0.0,1755
2020-12-30,Busan,39,38.0,1.0,1794
2020-12-31,Busan,74,72.0,2.0,1868
2021-01-01,Busan,57,55.0,2.0,1925
2021-01-02,Busan,26,26.0,0.0,1951
2021-01-03,Busan,19,19.0,0.0,1970
2021-01-04,Busan,37,34.0,3.0,2007
2021-01-05,Busan,15,14.0,1.0,2022
2021-01-06,Busan,38,38.0,0.0,2060
2021-01-07,Busan,23,23.0,0.0,2083
2021-01-08,Busan,24,23.0,1.0,2107
2021-01-09,Busan,17,17.0,0.0,2124
2021-01-10,Busan,34,32.0,2.0,2158
2021-01-11,Busan,19,16.0,3.0,2177
2021-01-12,Busan,21,21.0,0.0,2198
2021-01-13,Busan,35,35.0,0.0,2233
2021-01-14,Busan,40,40.0,0.0,2273
2021-01-15,Busan,47,45.0,2.0,2320
2021-01-16,Busan,61,59.0,2.0,2381
2021-01-17,Busan,34,32.0,2.0,2415
2021-01-18,Busan,10,9.0,1.0,2425
2021-01-19,Busan,17,17.0,0.0,2442
2021-01-20,Busan,13,12.0,1.0,2455
2021-01-21,Busan,19,19.0,0.0,2474
2021-01-22,Busan,23,23.0,0.0,2497
2021-01-23,Busan,33,33.0,0.0,2530
2021-01-24,Busan,20,19.0,1.0,2550
2021-01-25,Busan,20,19.0,1.0,2570
2021-01-26,Busan,27,27.0,0.0,2597
2021-01-27,Busan,32,31.0,1.0,2629
2021-01-28,Busan,54,53.0,1.0,2683
2021-01-29,Busan,34,34.0,0.0,2717
2021-01-30,Busan,20,18.0,2.0,2737
2021-01-31,Busan,20,20.0,0.0,2757
2021-02-01,Busan,15,15.0,0.0,2772
2021-02-02,Busan,12,10.0,2.0,2784
2021-02-03,Busan,19,18.0,1.0,2803
2021-02-04,Busan,26,26.0,0.0,2829
2021-02-05,Busan,33,33.0,0.0,2862
2021-02-06,Busan,14,14.0,0.0,2876
2021-02-07,Busan,9,8.0,1.0,2885
2021-02-08,Busan,9,7.0,2.0,2894
2021-02-09,Busan,9,9.0,0.0,2903
2021-02-10,Busan,19,18.0,1.0,2922
2021-02-11,Busan,29,29.0,0.0,2951
2021-02-12,Busan,27,25.0,2.0,2978
2021-02-13,Busan,27,26.0,1.0,3005
2021-02-14,Busan,15,12.0,3.0,3020
2021-02-15,Busan,15,15.0,0.0,3035
2021-02-16,Busan,19,17.0,2.0,3054
2021-02-17,Busan,19,18.0,1.0,3073
2021-02-18,Busan,28,28.0,0.0,3101
2021-02-19,Busan,16,16.0,0.0,3117
2021-02-20,Busan,14,14.0,0.0,3131
2021-02-21,Busan,12,11.0,1.0,3143
2021-02-22,Busan,12,12.0,0.0,3155
2021-02-23,Busan,12,12.0,0.0,3167
2021-02-24,Busan,13,13.0,0.0,3180
2021-02-25,Busan,18,18.0,0.0,3198
2021-02-26,Busan,11,10.0,1.0,3209
2021-02-27,Busan,9,9.0,0.0,3218
2021-02-28,Busan,5,4.0,1.0,3223
2021-03-01,Busan,16,16.0,0.0,3239
2021-03-02,Busan,17,17.0,0.0,3256
2021-03-03,Busan,8,8.0,0.0,3264
2021-03-04,Busan,18,17.0,1.0,3282
2021-03-05,Busan,20,20.0,0.0,3302
2021-03-06,Busan,12,12.0,0.0,3314
2021-03-07,Busan,6,6.0,0.0,3320
2021-03-08,Busan,12,12.0,0.0,3332
2021-03-09,Busan,19,19.0,0.0,3351
2021-03-10,Busan,7,7.0,0.0,3358
2021-03-11,Busan,14,13.0,1.0,3372
2021-03-12,Busan,15,14.0,1.0,3387
2021-03-13,Busan,17,17.0,0.0,3404
2021-03-14,Busan,13,13.0,0.0,3417
2021-03-15,Busan,4,4.0,0.0,3421
2021-03-16,Busan,7,6.0,1.0,3428
2021-03-17,Busan,11,10.0,1.0,3439
2021-03-18,Busan,7,7.0,0.0,3446
2021-03-19,Busan,7,6.0,1.0,3453
2021-03-20,Busan,9,9.0,0.0,3462
2021-03-21,Busan,19,18.0,1.0,3481
2021-03-22,Busan,26,24.0,2.0,3507
2021-03-23,Busan,8,8.0,0.0,3515
2021-03-24,Busan,17,16.0,1.0,3532
2021-03-25,Busan,20,20.0,0.0,3552
2021-03-26,Busan,11,11.0,0.0,3563
2021-03-27,Busan,33,33.0,0.0,3596
2021-03-28,Busan,56,56.0,0.0,3652
2021-03-29,Busan,53,53.0,0.0,3705
2021-03-30,Busan,43,42.0,1.0,3748
2021-03-31,Busan,58,58.0,0.0,3806
2021-04-01,Busan,54,53.0,1.0,3860
2021-04-02,Busan,38,35.0,3.0,3898
2021-04-03,Busan,61,61.0,0.0,3959
2021-04-04,Busan,61,60.0,1.0,4020
2021-04-05,Busan,48,46.0,2.0,4068
2021-04-06,Busan,34,34.0,0.0,4102
2021-04-07,Busan,38,38.0,0.0,4140
2021-04-08,Busan,52,51.0,1.0,4192
